ComplaintID,Date,ServiceType,ServiceProvider,CustomerName,CustomerContact,Description,ResolutionStatus
7297,2022-08-03,Pay TV,Glo,Paige Diaz,23490441852443,Per write place rest.,In Progress
7282,2022-02-20,Telecom,Etisalat,Charles Moss,23480905761250,Since old whether hundred big support.,Open
2294,2022-05-28,Telecom,Airtel,Diana Ross,23470278966638,Product play no leg.,Open
2235,2023-02-10,Telecom,Airtel,Eric Cummings,23480350277340,Be so particular scientist.,In Progress
5518,2022-10-20,Telecom,Airtel,Mary Hartman,23481787378264,Education number nearly reality.,Open
1988,2021-10-02,Pay TV,Airtel,Gregory Young,23490913726253,Above actually test class.,Resolved
2571,2023-06-17,Telecom,Etisalat,Dana Rodriguez,23481651651629,Care production economy dinner couple quite.,In Progress
1424,2021-11-02,Telecom,MTN,Edward Salinas,23480221486478,Service attorney fly make husband purpose agent.,Resolved
1464,2022-11-01,Pay TV,Etisalat,John Hansen,2348133126959,Bad far president car base hold save player.,In Progress
3137,2022-10-21,Telecom,MTN,Crystal Hernandez,23490276522227,Ago prepare cup popular represent and choice.,In Progress
8970,2022-07-08,Pay TV,Airtel,Gail Mathis,23470256881716,Appear law forget worker let morning themselves.,In Progress
5316,2022-06-12,Telecom,Etisalat,Dale Silva,23470655907726,Low and military fly nor.,Open
2609,2023-02-07,Pay TV,Etisalat,Chloe Garrett,23480558598220,Capital interesting of compare floor.,In Progress
7102,2022-01-26,Telecom,Glo,Ann Murray,2347068363257,Provide east seem unit Mrs.,Resolved
3206,2022-04-22,Telecom,Airtel,Whitney Farrell,23470805947288,This reason game wide evening cost.,In Progress
5089,2021-10-20,Pay TV,Etisalat,Thomas Taylor,23480282392441,Most north computer century position place.,Open
4377,2022-02-07,Telecom,Glo,James Contreras,23480404876891,Who office you author whole minute.,Resolved
7056,2022-12-03,Pay TV,Glo,Christian Martinez,23480779654038,Daughter herself not sister.,In Progress
4047,2023-01-16,Pay TV,Glo,Marissa Thompson,23480869741356,Product else different role short man.,In Progress
7543,2023-06-06,Telecom,Etisalat,Susan Garcia,23470233014078,Up table likely decision run world where.,In Progress
8979,2023-07-13,Telecom,Etisalat,Ashley Stuart,23490559654954,Nature significant candidate score.,In Progress
4655,2023-03-13,Telecom,Etisalat,Erica Morales,23481464123728,Parent interest claim skill grow manager form others.,Open
3823,2022-09-24,Pay TV,Glo,Andrew Stephens,23481148277878,Price garden section mouth wide.,In Progress
1356,2022-03-28,Telecom,Airtel,Amy Larson,23481783153615,Him shoulder town off worker herself whether.,In Progress
6425,2022-01-11,Telecom,MTN,Logan Sampson,23490209041793,Matter society middle nation stock.,Open
5767,2022-09-01,Telecom,Etisalat,Darryl Barnes,23490483479625,Any serve floor already alone future develop.,Resolved
2807,2022-04-11,Pay TV,Etisalat,Catherine Hill,23470466654890,Which know often person audience cost military.,In Progress
6486,2022-09-12,Telecom,Airtel,Alexis Williams,23480533264326,Vote matter current more.,In Progress
8413,2022-05-29,Telecom,Glo,Joshua Weber,23480316068417,Beat Mr seem whether or their.,Open
9872,2023-08-25,Telecom,Airtel,Samantha Le,23470147529129,Art nature bar apply hair step threat.,Open
8579,2022-10-22,Telecom,Etisalat,William Curry,23470542490796,Feeling participant blue response then rule today.,Open
7497,2022-03-21,Pay TV,Airtel,Bruce Cooper,23470866978522,Whose affect process decade economy develop avoid choice.,Resolved
620,2022-02-03,Pay TV,MTN,Michelle Ponce,23480473035744,Miss glass about fill experience.,Open
3686,2022-09-11,Pay TV,Glo,Belinda Escobar,23470920275844,Home group ready.,Resolved
2424,2023-04-30,Telecom,Etisalat,Matthew Black,23481661139345,Simply bad he begin try.,Open
1447,2023-02-16,Pay TV,MTN,Dawn Cowan,23481761667238,Top office memory national central describe.,In Progress
1360,2023-06-14,Pay TV,MTN,Joseph Montoya,23470560295087,Step matter like show change choose enter.,Resolved
571,2022-10-13,Telecom,Airtel,Connie Davis,23480681512366,Movement teach hour lay worker.,In Progress
5787,2022-05-11,Telecom,Etisalat,William Ellis,23470210609855,Today able easy hit present property PM family.,Resolved
984,2023-09-20,Pay TV,Etisalat,Carrie Peterson,23470986438256,Reason sit table resource seek interesting.,Resolved
4657,2023-04-12,Telecom,MTN,Jeffrey Carrillo,23480431752295,Five chair force father treatment reason police day.,In Progress
2468,2023-07-21,Telecom,Etisalat,John Mathews,23470524826127,Alone single hair usually key.,Open
5485,2022-09-24,Pay TV,MTN,Elizabeth Perkins,23481275806141,Exactly lead run training instead.,In Progress
1181,2022-02-23,Telecom,Etisalat,Kelly Brooks,23470791556195,Condition can step difference.,Open
8417,2023-02-25,Pay TV,Glo,Brandon Hays,23470434902421,School include whole plant.,Open
7109,2022-09-06,Pay TV,MTN,Michael Logan,2348132015517,Large see goal father around thus.,Resolved
2508,2023-06-02,Telecom,Glo,Kelly Luna,23480583684262,Plant TV successful a reduce usually.,Resolved
1080,2022-08-30,Telecom,Airtel,Stacey Randall,23490847039979,Real sing again remember space guy.,Resolved
1570,2023-09-09,Telecom,Etisalat,Sherry Wyatt,23490187569394,According miss wish third quite.,Resolved
5696,2022-09-27,Telecom,MTN,Gregory Smith,23481711346416,Air more wish behind example go.,In Progress
505,2022-07-18,Telecom,Airtel,Veronica Moore,23490474352407,Partner short decide chair.,Resolved
6059,2021-11-23,Telecom,Etisalat,Eric Murillo,23470774986601,Tax health magazine nation surface feeling south.,Resolved
7166,2023-08-08,Telecom,MTN,Chris Ellison,23490273790938,Attorney dream simple view design her whose may.,In Progress
1971,2022-09-03,Telecom,Glo,Ebony Lloyd,23481429003118,Class some stage pick skin.,In Progress
7246,2021-09-28,Pay TV,Airtel,Nicole Harris,23490311519520,Who approach Congress town.,In Progress
5503,2021-11-27,Telecom,Etisalat,Jeremiah Morgan,23490181214655,Serious control community at themselves become.,Open
1298,2021-12-22,Telecom,Airtel,Kenneth Gates,2349069131535,My impact member middle grow pass.,In Progress
7721,2021-12-15,Telecom,Airtel,Tina Smith,23490341871779,Civil media candidate hospital assume word new.,Open
421,2022-12-25,Pay TV,Etisalat,Jessica Foster,23480122435247,Wide land off election agent fall six.,In Progress
282,2023-01-24,Pay TV,MTN,Ryan Small,2349057982030,Discover arrive shake despite consumer.,In Progress
1193,2022-06-29,Pay TV,MTN,Patricia Sullivan,23481669489516,Scientist hold born value near.,Open
9619,2023-05-26,Telecom,Airtel,Matthew Wallace,23490706829414,Beyond court other either many.,Resolved
3981,2022-09-09,Pay TV,Airtel,Amy Barnes,23480785255601,Send without sport.,Open
1481,2021-09-28,Pay TV,MTN,Janet Griffith,23480451375793,Evening wind exactly.,Resolved
448,2022-08-07,Telecom,MTN,Christopher Kelly,23481943621379,Character information movie theory although.,Open
5201,2022-10-24,Pay TV,Etisalat,Megan Terry,23490308833276,Parent everybody mother attention size fill bed practice.,In Progress
4388,2021-10-05,Telecom,Airtel,Robert White,23480548229134,Dinner particular anyone pay current today.,In Progress
6125,2021-11-28,Pay TV,Glo,Brittany Bishop,23470700026363,Approach raise old community energy.,Resolved
8229,2021-11-22,Telecom,MTN,Michael Miller,23490732302681,Total early special.,In Progress
3859,2022-08-03,Telecom,Airtel,Michael Orozco,23490271176548,College require head political else long.,Resolved
8491,2023-07-15,Pay TV,Glo,Kelly Castaneda,23490879644068,Right old bank exist.,In Progress
6515,2022-12-06,Telecom,Etisalat,Kevin Owen,23490896789374,Time charge trade all.,Resolved
8315,2022-11-26,Pay TV,Glo,Carolyn Yates,23481279013410,Response prevent pick with cause place.,In Progress
7192,2023-09-13,Pay TV,Glo,Eric Schmidt,23480539069485,Similar time according position.,Resolved
386,2021-09-28,Telecom,Glo,Janet Armstrong,23481961919356,Policy very street listen.,Open
296,2023-01-04,Pay TV,MTN,David Mckenzie,23490925424938,Week drug oil.,Open
1619,2022-11-02,Telecom,MTN,Christopher Taylor,23480188522974,Peace six worker entire maybe seven.,Open
1719,2022-05-17,Telecom,MTN,Connor Young,23481225179367,Someone occur quality step.,Open
3814,2023-09-07,Pay TV,Etisalat,Sarah Wong,23490912261126,Experience set high discuss service prepare possible.,In Progress
6092,2022-09-27,Telecom,Airtel,Audrey Holland,23490204792590,Fly although machine economic thus.,Resolved
4259,2023-02-17,Pay TV,Airtel,Bradley Taylor,23481283406131,Window money college American.,Open
1209,2023-04-19,Telecom,Etisalat,Andrew Chang,23481138693023,Well leg edge.,Resolved
6517,2022-12-20,Pay TV,Airtel,Robert Quinn,23470624965766,Decade power you.,Resolved
2912,2022-05-02,Telecom,Glo,Craig Rose,23480118835266,Debate Mrs factor every a.,Open
648,2021-12-15,Telecom,Glo,Tanya Berger,23470709076082,Me speak respond improve perform space.,In Progress
1055,2022-06-04,Telecom,Etisalat,Timothy Robinson,23481404599823,Talk road bring follow firm discuss result.,Open
3509,2022-04-28,Pay TV,Glo,Willie Romero,23490259063646,Author job different.,In Progress
8436,2022-03-28,Pay TV,MTN,Samantha Torres,23470653035600,Next defense leader customer.,Open
9421,2022-02-18,Telecom,Glo,Michael Johnson,2348093501807,Technology bank daughter close name six street.,Resolved
211,2023-08-01,Pay TV,MTN,Christopher Terrell,23481278375977,Mrs say art behind leave line affect entire.,Resolved
1908,2023-07-30,Telecom,Glo,Vickie Mcdonald,2347039382293,Scene bag give west age song decade across.,Resolved
5962,2022-08-31,Pay TV,MTN,Gregory Cisneros,23490310406712,Over sometimes west catch.,In Progress
6865,2022-05-31,Telecom,Etisalat,Richard Barron,23470227820892,Rule feel box.,Open
8084,2023-02-20,Pay TV,Glo,Gregory Reese,23480341275206,But garden scientist treat.,Resolved
7078,2023-03-13,Pay TV,Airtel,Aaron Wood,23470284199235,Can success throughout school reach generation table.,In Progress
3208,2021-09-29,Pay TV,MTN,Joe Evans,23490368073501,Others pull voice that begin.,In Progress
5767,2021-12-18,Telecom,Glo,Jonathan Patrick,23481330624538,Site officer policy trade while.,Open
3333,2021-11-23,Telecom,Airtel,Kendra Rodriguez,23470153595236,Design teacher national with much position.,Open
5982,2022-09-01,Telecom,Etisalat,Destiny Mullen,23470285884535,Fire concern which.,Open
978,2021-10-28,Pay TV,Glo,Nathaniel Brown,23470917948105,Usually activity per.,Open
7425,2023-01-15,Telecom,Etisalat,Cynthia Maldonado,23490696057268,Throughout feel hotel safe major.,Resolved
8510,2022-02-18,Pay TV,Airtel,Jean Evans MD,23481232016880,Red assume technology election serve.,In Progress
9375,2022-12-11,Pay TV,MTN,Keith Harper,23490430901547,City owner green college.,Resolved
7399,2022-01-10,Telecom,Glo,Matthew Griffin,23470829391832,Center certainly deep would stay set artist.,In Progress
9520,2023-04-22,Pay TV,Glo,Brandon Diaz,23470256273409,Us PM player yes five.,Open
8952,2022-01-01,Telecom,MTN,Janice Ross,23470556152057,Artist participant positive thought star window think.,Resolved
3460,2021-12-17,Pay TV,MTN,Sherry Vargas,23490570099385,South month subject she.,Open
9927,2023-07-30,Telecom,MTN,Kyle Reed,23470874419802,Turn medical doctor fly themselves.,Resolved
9042,2023-06-07,Pay TV,MTN,Jenna Moore,23470373972309,Public their dark collection ground.,In Progress
8246,2022-12-02,Telecom,Airtel,Crystal Martinez,23480783135303,Young election together than may.,Resolved
6790,2023-03-27,Pay TV,MTN,Michael Miller,23481913151254,Probably save drop room debate executive series.,In Progress
1190,2022-02-25,Pay TV,Airtel,Michael Johnston,23481900233326,Commercial this section nice.,Resolved
6000,2022-12-06,Pay TV,Airtel,Teresa Moody,23490183938879,Growth before base you.,In Progress
215,2021-12-17,Telecom,MTN,Craig Edwards,23490245853037,Trade join recognize away.,Open
7853,2022-12-19,Pay TV,Etisalat,Jeffrey Reyes,23481506102573,Wall guess see message skin.,Open
7075,2023-08-02,Pay TV,MTN,Danielle Allen,23490389388559,Behavior three concern movement.,Resolved
7181,2022-07-18,Telecom,Airtel,Amy Henderson,23470656396313,Explain window sport whose stage case.,Open
3424,2022-02-01,Telecom,Etisalat,Christina Jackson DVM,23481709062738,Three truth similar plan end.,In Progress
5027,2022-08-05,Pay TV,MTN,Samantha Nguyen,23470396117656,Person fish task city voice huge.,In Progress
9115,2022-03-02,Pay TV,Airtel,Ryan Bradley,23481115123441,If politics marriage message I important.,In Progress
8749,2023-04-02,Telecom,Glo,William Morris,23481523860751,Mother claim area look.,Open
5271,2023-05-06,Telecom,Airtel,Nicholas Velez,23490751604471,Attention staff technology open page off.,Resolved
4933,2023-08-21,Pay TV,MTN,Desiree Tran,23481842286160,Doctor road teach half.,Open
5571,2022-08-27,Telecom,MTN,Tanya Morris,23481995104229,Become speak foot minute bad.,In Progress
6943,2022-07-03,Pay TV,Etisalat,Amy Nguyen,23481262636583,Left a may sense lawyer our.,In Progress
3447,2022-05-16,Telecom,MTN,Joseph Santos,23480248894621,Tend might economic society soon movement choice.,In Progress
775,2022-01-30,Telecom,Glo,Sharon Herrera,23481361787919,Professional color page conference.,Open
5167,2022-08-03,Telecom,Airtel,Robin Santana,23470648181653,Behind change think mind lawyer year training.,Open
9460,2023-04-20,Telecom,MTN,Darius Fields,2348066479486,Matter occur garden political hot choose.,In Progress
3032,2022-02-05,Telecom,Etisalat,Linda Martinez,23481225929489,Speech almost animal put by.,Resolved
6877,2023-08-18,Pay TV,Glo,Paul Jefferson,23490181237734,Talk development away phone often.,Open
5994,2022-07-17,Pay TV,Glo,David Hughes,23480771361512,Color so know ok board.,Resolved
686,2022-07-11,Telecom,Glo,Vanessa Smith,23480763187166,Cell under idea interesting floor.,Open
5334,2022-10-27,Telecom,Glo,Megan Lee,23490362087728,Want region operation it administration discuss.,Open
3007,2023-07-19,Telecom,Etisalat,Patrick Martinez,23470160576076,Do production growth.,Open
9593,2021-10-03,Telecom,MTN,Gary Silva,23480211632913,Reflect small town kid water.,In Progress
2878,2023-01-02,Telecom,Airtel,Justin Johnson,23481544542868,Field family behind painting speak character.,Open
3216,2022-10-14,Telecom,MTN,Brian Young,23481249639447,Response give sister leader.,Open
7990,2021-12-13,Pay TV,Etisalat,Edward Johnson,23480831527460,Loss fire price have collection Democrat.,Resolved
4591,2022-12-25,Telecom,Airtel,Jessica Rogers,23470948057266,Past throughout loss unit box car common.,In Progress
6261,2021-12-30,Pay TV,Etisalat,Francisco Williams,2348167074993,Week social must yet.,Open
3538,2022-01-25,Telecom,MTN,Valerie Graham,23480598856875,Politics let rise book before most public look.,In Progress
201,2023-05-11,Telecom,Glo,Kristina Aguilar,23490230567752,Send usually couple back my interesting certainly.,Open
4091,2023-09-09,Telecom,Glo,Scott Reynolds,23480401788583,Free free Republican daughter.,Resolved
5344,2021-12-18,Telecom,Etisalat,Stephanie Thompson,23490672294679,Fire item easy speech.,In Progress
2676,2021-12-18,Telecom,Etisalat,Jacob Huang,23480639048344,Project three action fact.,Resolved
3897,2022-03-19,Pay TV,Glo,Lisa Hale,23470872936574,Thing approach agreement activity life mother.,Open
2013,2023-04-20,Telecom,Airtel,John Blair,23481293616596,Speech treat perform although media share.,Resolved
8188,2022-01-26,Telecom,Etisalat,Rodney Miller,23480357943045,Build approach person top another machine.,Resolved
9088,2023-01-18,Telecom,Airtel,Michelle Flores,23480701657200,Civil others method region try walk.,In Progress
9683,2022-04-30,Pay TV,Glo,Ashley Taylor,23481906346287,Account near back at us couple.,Resolved
7541,2022-12-02,Pay TV,Airtel,Samantha Smith,2348084349001,Look section thank cold direction month generation.,Resolved
1700,2021-11-21,Pay TV,MTN,Kelly Johnson,23481939011761,Mention her look bill network court himself.,Open
7052,2022-06-09,Pay TV,Airtel,April Adams,23480541316538,This guess realize force no.,Open
6022,2023-08-12,Telecom,Glo,Christina Peters,23481183979638,Ready notice power.,Open
8135,2022-01-06,Telecom,Etisalat,Robert Davis,23490970131797,Ask large purpose nature million difference place.,In Progress
2359,2022-05-10,Pay TV,Glo,Christopher Gonzalez,23470167564592,Indeed size stand.,In Progress
143,2022-04-14,Telecom,Glo,Holly Johnson,23480367862548,Develop study author perform.,In Progress
8759,2021-11-19,Telecom,MTN,Stephen Stone,23490976644854,Nice ever claim section think.,In Progress
5972,2022-05-23,Telecom,Airtel,Teresa Christensen,23490398251139,Among by lay education similar town check.,Resolved
2694,2021-12-01,Pay TV,Glo,Robert Jefferson,23490191448033,Knowledge upon author travel blue owner public.,Resolved
347,2023-03-14,Pay TV,MTN,Kenneth Morris,23490665477702,Sure bag store position.,Open
2232,2023-04-27,Pay TV,Airtel,Laurie Brooks,23481737876395,Like cut expect ready standard.,In Progress
870,2021-10-19,Telecom,Etisalat,Darren Dillon,23470349205412,Environmental American plant hope employee north must.,In Progress
2209,2022-08-07,Pay TV,Airtel,Patricia Hughes,23470718728992,Specific black third front meeting new.,Open
6525,2023-05-26,Pay TV,Airtel,Joseph Sanchez,23481353787552,Reality film act recently hour billion always.,Open
6140,2021-09-29,Telecom,Glo,Sherry Perez,23480189142388,Campaign center later.,Open
4287,2022-08-21,Telecom,Glo,Roberta Delgado,23480818527865,Fill space push former consumer food yourself face.,Open
4446,2021-12-31,Pay TV,Etisalat,Katelyn Harris,23481540756637,Decade difference want natural building.,Open
7136,2021-11-20,Pay TV,MTN,Rhonda Levy,23470443656349,Everybody campaign read measure trouble.,In Progress
6420,2022-03-16,Telecom,Etisalat,Lisa Smith,23470212137451,Write mother step ask team coach sound add.,Open
525,2022-04-01,Telecom,MTN,Stephen Blair,23481443063846,And civil price expect statement nice yard.,In Progress
5428,2023-02-17,Pay TV,Glo,Daniel Burch,23490622752479,Huge real above road huge.,Resolved
1329,2022-03-03,Telecom,Glo,Justin Chavez,23480123907675,Act yet eye worry simple administration.,Resolved
3371,2022-06-21,Telecom,Glo,Ashley Kramer,23490379807381,Reach sign forward number experience size reality.,In Progress
7018,2022-09-20,Telecom,Airtel,Omar Turner,2349078849526,Off cut recognize page.,Resolved
2317,2022-12-17,Telecom,Etisalat,Jordan Reynolds,23490488657187,Food activity authority raise however.,Resolved
9343,2022-09-24,Pay TV,Glo,Kevin Nicholson,23470148520667,Example power try true own.,Resolved
5384,2023-03-24,Telecom,Glo,Caleb Lester,23480712511390,Particular into mouth situation.,Open
1125,2023-08-28,Pay TV,MTN,Patrick Morris,23480678799928,Care student college.,Open
8711,2023-02-16,Pay TV,MTN,Jason Johnson,23470688533338,Girl TV around later should.,Open
9978,2022-04-06,Pay TV,Glo,Jeffrey Conner,23470443692168,Itself believe order back event certain step.,Resolved
7850,2023-04-17,Telecom,Etisalat,Michael Grant,23490403203906,Big force edge practice.,Open
7879,2023-03-24,Telecom,Glo,David Jackson,23481876929995,Give personal more child detail begin.,Resolved
7470,2022-01-19,Pay TV,MTN,Greg Webb,23480309409674,Within decide against however.,In Progress
6540,2022-11-27,Pay TV,Glo,Alyssa Floyd,23481765538280,Court save since service under night relationship perhaps.,Resolved
3252,2022-07-19,Pay TV,MTN,Christopher Cruz,23490187888922,Simply history major street people anyone.,Open
1975,2022-12-28,Pay TV,Glo,Holly Murphy,23470874318346,Popular remain among floor.,In Progress
2305,2022-07-19,Pay TV,MTN,Heather Phillips,23480347934226,Inside development education begin question task leader.,Open
6028,2023-08-09,Pay TV,MTN,Aaron Arroyo,23490595050012,Among someone forget shake involve.,In Progress
241,2023-05-10,Telecom,MTN,Monica Warner,23470543643994,Close cup tree glass western affect already again.,Resolved
6995,2023-01-09,Telecom,Airtel,Sherri May,23490285440120,Identify oil read none teacher new.,Open
3621,2022-09-22,Telecom,Glo,James Mitchell,2348045484280,Positive whose life cup audience moment.,Open
1157,2023-09-15,Telecom,Airtel,Sharon Williams,23490348925790,Blood guess against but a level hour.,Resolved
2699,2022-10-15,Telecom,MTN,William Mcmahon,23481580388940,While shoulder leader particularly control.,Resolved
3656,2022-09-22,Pay TV,MTN,Jeffrey Elliott,23481960252934,Today organization throw through run past.,Open
2006,2023-05-16,Telecom,Airtel,Renee Smith,23480411772998,Smile sister able close tend well interest.,Resolved
9239,2023-09-14,Telecom,Etisalat,Holly Roberts,2349076642265,Name ever act shoulder already skill.,In Progress
9350,2022-05-05,Pay TV,Etisalat,Margaret Hall,23480469060682,Leave audience source what own.,In Progress
3421,2022-02-04,Telecom,Airtel,Rebecca Johnson,23470766414747,Role box large production easy above rock dinner.,Resolved
164,2023-04-13,Pay TV,Airtel,Heather Vazquez,23490153427632,Sense mother still.,Resolved
1141,2022-01-29,Pay TV,MTN,Gregory Perez,23480514635429,Time Republican lay food garden another campaign.,In Progress
5032,2023-04-29,Telecom,Airtel,Thomas Bowen,23481382348940,Reveal run real travel just coach forget daughter.,Open
2572,2022-07-25,Pay TV,MTN,Kayla Bradley,23481559623956,By out bar field consider.,In Progress
4773,2023-06-28,Pay TV,Glo,Pamela Anderson,23470754113233,Participant others popular challenge fund left.,Open
2524,2023-09-06,Pay TV,Glo,Michelle Lloyd,23470271963166,Indicate civil begin from understand art.,In Progress
7955,2022-03-31,Telecom,Airtel,Chelsea Franklin,23481923688862,Speak culture catch generation.,In Progress
1198,2022-11-19,Telecom,Airtel,John Phelps,23480258784666,Image pass material skin.,Resolved
8608,2022-01-18,Telecom,Glo,Jay Berger,23470199628242,Art cover Mrs condition wind grow nearly training.,Resolved
617,2022-04-11,Telecom,MTN,Corey Johnston,23470565281704,Believe including such thank operation.,Resolved
5889,2022-03-11,Pay TV,MTN,Melissa Munoz,23470716941567,Wide church note share note question.,Resolved
4828,2022-01-17,Pay TV,Glo,Stephanie Dean,23481232355193,Suffer summer citizen long politics whole.,Open
7380,2023-04-02,Pay TV,Glo,David Moore,23470161359477,Write discover military will north picture.,In Progress
6487,2022-08-14,Telecom,Airtel,Kyle Davis,23480181238974,Movie myself write environmental one politics close.,In Progress
1371,2022-12-24,Telecom,Etisalat,Lisa Andersen,23481309080403,Crime much may condition it assume.,Resolved
7226,2023-03-18,Pay TV,Etisalat,Janet Diaz MD,23470951581694,Somebody on another customer talk ahead.,Open
7546,2023-07-13,Telecom,Glo,Sandy Martinez,23490592434187,Standard near think image director century.,In Progress
5753,2022-03-01,Telecom,Glo,Carol Jones,23470607286907,Standard really under until.,In Progress
7907,2022-09-02,Pay TV,Glo,Keith Glover,23470848939618,Wear key figure.,Open
6889,2022-01-15,Telecom,MTN,Brittany Stewart,23490491013070,Night partner nearly outside visit.,Open
233,2021-11-04,Telecom,Glo,Dana Rhodes,2348171037289,Trouble year national her.,In Progress
3331,2023-05-15,Telecom,Etisalat,Brian Frey,23470655678731,Court number financial citizen capital himself institution.,In Progress
650,2022-01-26,Telecom,Airtel,Timothy Adams,23470761858334,Song cultural remain new modern.,In Progress
5639,2022-07-01,Telecom,Glo,Latoya Barnes,23470993358412,Close clearly coach American boy describe scientist.,Open
8321,2022-03-22,Pay TV,Etisalat,Eric Rodriguez,23490500824709,Provide since father role join.,Resolved
6714,2022-07-09,Pay TV,Airtel,Anthony Garcia,23490145972306,May audience center change third resource word.,In Progress
8497,2021-10-17,Pay TV,MTN,Robert Bush,23470784953359,Letter page she western site board.,Resolved
739,2021-11-26,Pay TV,MTN,Gary Smith,23490548820289,Service of measure.,In Progress
5556,2023-04-19,Telecom,Glo,Mike Johnson,23480846297427,At clearly same society third.,In Progress
2141,2023-05-21,Telecom,Glo,John Hall,23470156841712,Care in claim either.,Resolved
5879,2022-04-30,Pay TV,MTN,Bill Bailey,23480464804852,Price land impact phone speech sell child.,Open
381,2021-12-31,Pay TV,Glo,Kayla Keith,2348063943451,Senior imagine interesting resource step away TV.,Resolved
2392,2023-06-12,Telecom,Airtel,Joshua Owens,23470994798692,Law certain through which sell sense theory.,In Progress
6641,2022-08-28,Pay TV,Airtel,Natalie Kidd,23490406886082,Size defense all.,In Progress
1591,2023-04-01,Telecom,Etisalat,Luis Pena,23480939098214,Sometimes hold page even particular.,Resolved
6445,2023-04-15,Pay TV,Glo,Ryan Griffin,23490609639159,Report check perform decide risk weight east.,Resolved
84,2022-12-25,Telecom,Etisalat,Billy Peterson,23470873336991,Draw agreement fight service.,Open
4086,2023-08-22,Telecom,MTN,Ronald Diaz,23481431647098,Place itself throughout.,Open
611,2022-01-21,Telecom,Glo,Jason Young,2347049283549,Police those usually treat.,In Progress
3191,2022-12-11,Telecom,MTN,Carl Atkins,23481810713066,Government stay war nearly those.,Open
1217,2023-08-02,Telecom,Airtel,Michael Spencer,23490627046369,Teacher institution project play law.,Resolved
9617,2022-06-05,Pay TV,MTN,Stacey White,23470813517934,Class situation walk front help.,Open
2613,2021-09-23,Pay TV,Airtel,Christopher Obrien,23490676185259,Young believe identify want growth fear.,In Progress
5443,2023-07-21,Pay TV,Glo,Elizabeth Nguyen,23481512973506,Personal summer can among serious police.,Resolved
4015,2022-11-16,Pay TV,Etisalat,Amy Smith,2349099944255,Off action past send former.,Open
3710,2023-02-19,Telecom,Glo,Patricia Brock,23480648951490,Adult indicate leave management admit argue.,Resolved
7167,2022-10-06,Pay TV,Airtel,Adam Smith,23480678562083,Bar wish myself indicate place.,Open
2073,2023-09-16,Telecom,Airtel,Joshua Ellis,23480911325373,Police themselves prepare voice.,Resolved
47,2021-10-09,Pay TV,Airtel,Courtney Morales,23490626236249,Glass image during get structure show.,Resolved
293,2021-12-10,Pay TV,MTN,Suzanne Harrison,23480524667522,Usually resource of.,Resolved
6256,2023-04-16,Pay TV,Airtel,Rachel Williams,23470462212258,Decision push over product soon pick white.,In Progress
1359,2022-12-28,Pay TV,Airtel,Zoe Harris,23480457446845,Bit side find.,Resolved
8299,2023-02-18,Telecom,Glo,Michael Ramirez,23490178180385,Share position never.,Open
4728,2022-11-14,Telecom,Etisalat,Christopher Allen,23481204415412,Build environment industry eat state until between.,Open
3137,2023-01-08,Pay TV,Glo,Edward Freeman,23490762831848,Life detail born into participant son live.,Resolved
9721,2022-08-12,Pay TV,MTN,Taylor Sullivan,23470237532922,Position represent again we relate north out.,Open
7539,2023-03-04,Telecom,Glo,Cheyenne Mckay,23480287114905,Enter able including tree send do thousand minute.,In Progress
3122,2023-04-11,Telecom,MTN,Tracy Christensen,23481630926303,Hot democratic free color others north.,In Progress
1657,2023-05-24,Pay TV,MTN,David Jones,23490662734220,Hot though already.,Resolved
6371,2022-10-01,Telecom,Airtel,Kevin Joyce,23481716337264,National might before base price.,In Progress
9802,2022-04-25,Pay TV,Etisalat,Megan Mcdaniel,23481322288211,Campaign environmental knowledge reveal present.,In Progress
8805,2023-06-12,Pay TV,Glo,Linda Lewis,2348176826777,Her share student anyone.,In Progress
7836,2023-04-21,Pay TV,Glo,Pamela Watson,23470670334038,Run group appear hard social better painting deep.,Resolved
1416,2021-10-31,Telecom,Airtel,Caleb Price,23490568757296,Include soon sit free.,Resolved
2083,2022-01-01,Telecom,Airtel,Catherine Gregory,23481228547628,Between real east to thing.,In Progress
518,2022-12-02,Telecom,Etisalat,Danielle Neal,23490289106809,Project support right clear blood.,Open
4124,2023-06-20,Telecom,MTN,Jacob Davis,2348121349652,Air themselves speech grow president fast.,In Progress
9157,2023-02-27,Pay TV,Airtel,Nancy Monroe,23480752972095,Type assume cause thought late card out.,Resolved
154,2022-07-19,Telecom,Airtel,Thomas Vasquez,23490203643110,News environmental represent each range.,Resolved
127,2022-05-06,Pay TV,Etisalat,Nancy Torres,23470549323277,Pretty remember page find.,Resolved
1897,2023-01-09,Telecom,Glo,Andrew Nelson,2349015183058,Everything policy wind it everyone training.,Resolved
4023,2022-07-11,Telecom,Airtel,Patricia Morales,23490682220799,Couple wrong quality the reveal.,In Progress
8481,2022-09-22,Telecom,Glo,Dale Sullivan,23470343488801,Responsibility report reveal whom.,Resolved
1414,2023-05-29,Pay TV,Glo,Steven Marks,23490289711087,Fill radio likely serious later.,Open
4310,2023-04-03,Telecom,Glo,Rebecca Lawson,2348123863211,That interest usually lawyer day travel hour.,Open
7414,2023-02-13,Pay TV,Etisalat,David Rivera,2348087770862,This prepare natural teach minute.,Open
594,2023-03-16,Pay TV,Glo,Anthony Collins,23490976554895,When trade table she majority former service reach.,Resolved
